Case,Activity,Timestamp,Resource
1005,Check for completeness.67rgGrQ:Clerk-000003,2023-11-28 12:19:05.489000000,Clerk-000003
1005,Perform checks,2023-11-28 12:28:30.645000000,Clerk-000004
1005,Perform checks_1,2023-11-28 12:28:31.578411665,Clerk-000004
1005,Perform checks_2,2023-11-28 12:28:31.626346000,Clerk-000004
1005,Make decision_-Manager-000004,2023-11-28 12:47:36.032000000,Manager-000004
1005,notify reject,2023-11-28 12:53:52.492000000,Manager-000001
1005,time out-709>nan,2023-11-28 13:09:23.256000000,
1006,Verification process,2023-11-28 12:24:04.037000000,Clerk-000002
1006,Verification process,2023-11-28 12:31:15.886000000,Clerk-000005
1006,Make decision,2023-11-28 12:41:07.514000000,Manager-000006
1006,Notify accept,2023-11-28 12:45:02.178000000,Manager-000003
1006,Notify accept_1,2023-11-28 12:45:02.391651166,Manager-000003
1006,Notify accept_2,2023-11-28 12:45:03.694100970,Manager-000003
1006,Deliver card,2023-11-28 12:50:34.615000000,Manager-000005
1007,Check for completeness,2023-11-28 13:13:47.278000000,Clerk-000006
1007,Request info,2023-11-28 13:25:40.163000000,Manager-000002
1007,info received,2023-11-28 13:29:40.731000000,
1007,Check for completeness,2023-11-28 13:29:50.731000000,Clerk-000001
1007,Request info,2023-11-28 13:33:35.598000000,Manager-000006
1007,info received,2023-11-28 13:35:08.608000000,
1007,Check for completeness,2023-11-28 13:35:18.608000000,Clerk-000003
1007,Perform checks,2023-11-28 13:35:50.064000000,Clerk-000002
1007,Make decision,2023-11-28 14:15:36.573000000,Manager-000004
1007,Notify accept,2023-11-28 14:40:05.979000000,Manager-000003
1007,Deliver card,2023-11-28 14:44:06.045000000,Manager-000001
1008,Check for completeness,2023-11-28 13:42:34.371000000,Clerk-000005
1008,Request info,2023-11-28 14:09:13.162000000,Manager-000003
1008,info received,2023-11-28 14:10:08.249000000,
1008,Check for completeness,2023-11-28 14:10:18.249000000,Clerk-000006
1008,Perform checks,2023-11-28 14:11:09.526000000,Clerk-000001
1008,Make decision,2023-11-28 14:19:42.257000000,Manager-000001
1008,notify reject,2023-11-28 14:26:34.138000000,Manager-000006
1008,review request received,2023-11-28 14:35:22.998000000,
1008,Check for completeness,2023-11-28 14:35:32.998000000,Clerk-000006
1008,Request info,2023-11-28 14:45:43.050000000,Manager-000006
1008,info received,2023-11-28 14:54:56.850000000,
1008,Check for completeness,2023-11-28 14:55:06.850000000,Clerk-000003
1008,Perform checks,2023-11-28 15:08:52.042000000,Clerk-000006
1008,Make decision,2023-11-28 15:20:34.453000000,Manager-000002
1008,notify reject,2023-11-28 15:22:41.128000000,Manager-000004
1008,time out,2023-11-28 15:35:46.019000000,
1009,Check for completeness,2023-11-28 14:09:55.900000000,Clerk-000004
1009,Request info,2023-11-28 14:17:12.474000000,Manager-000005
1009,info received,2023-11-28 14:19:26.114000000,
1009,Check for completeness,2023-11-28 14:19:36.114000000,Clerk-000003
1009,Information exchange,2023-11-28 14:23:50.845000000,Manager-000002
1009,info received,2023-11-28 14:25:40.567000000,
1009,Check for completeness,2023-11-28 14:25:50.567000000,Clerk-000005
1009,Request info,2023-11-28 14:40:42.249000000,Manager-000005
1009,Information exchange,2023-11-28 14:55:36.010000000,
1009,Check for completeness,2023-11-28 14:55:46.010000000,Clerk-000005
1009,Perform checks,2023-11-28 14:55:56.247000000,Clerk-000004
1009,Make decision,2023-11-28 15:24:41.032000000,Manager-000006
1009,notify reject,2023-11-28 15:26:15.559000000,Manager-000005
1009,review request received,2023-11-28 15:30:18.528000000,
1009,Check for completeness,2023-11-28 15:30:28.528000000,Clerk-000002
1009,Perform checks,2023-11-28 15:31:48.982000000,Clerk-000004
1009,Make decision,2023-11-28 15:44:06.688000000,Manager-000006
1009,notify reject,2023-11-28 16:02:06.491000000,Manager-000003
1009,notify reject_1,2023-11-28 16:02:07.401843295,Manager-000003
1009,notify reject_2,2023-11-28 16:02:08.658471602,Manager-000003
1009,time out,2023-11-28 16:03:56.324000000,
101,Check for completeness,2023-10-04 20:15:16.017000000,Clerk-000002
101,Perform checks,2023-10-04 20:16:25.688000000,Clerk-000003
101,Make decision,2023-10-04 20:22:43.366000000,Manager-000001
101,notify reject,2023-10-04 20:27:30.817000000,Manager-000003
101,time out,2023-10-04 20:31:38.809000000,
1010,Check for completeness,2023-11-28 14:39:05.514000000,Clerk-000002
1010,Perform checks,2023-11-28 14:40:16.325000000,Clerk-000004
1010,Make decision,2023-11-28 14:43:47.982000000,Manager-000002
1010,notify reject,2023-11-28 14:46:49.257000000,Manager-000004
1010,review request received,2023-11-28 14:54:10.993000000,
1010,Check for completeness,2023-11-28 14:54:20.993000000,Clerk-000001
1010,Request info,2023-11-28 15:10:56.779000000,Manager-000003
1010,info received,2023-11-28 15:39:47.898000000,
1010,Check for completeness,2023-11-28 15:39:57.898000000,Clerk-000002
1010,Request info,2023-11-28 16:04:59.986000000,Manager-000002
1010,info received,2023-11-28 16:57:43.304000000,
1010,Check for completeness,2023-11-28 16:57:53.304000000,Clerk-000004
1010,Perform checks,2023-11-28 17:15:09.507000000,Clerk-000005
1010,Make decision,2023-11-28 17:32:42.737000000,Manager-000005
1010,notify reject,2023-11-28 17:37:57.669000000,Manager-000004
1010,review request received,2023-11-28 17:38:41.226000000,
1010,Check for completeness,2023-11-28 17:38:51.226000000,Clerk-000006
1010,Perform checks,2023-11-28 17:39:44.508000000,Clerk-000001
1010,Make decision,2023-11-28 17:49:33.916000000,Manager-000003
1010,notify reject,2023-11-28 18:17:07.133000000,Manager-000006
1010,time out,2023-11-28 18:25:23.329000000,
1011,Verification process,2023-11-28 14:55:06.909000000,Clerk-000002
1011,Verification process,2023-11-28 15:20:05.561000000,Clerk-000003
1011,Make decsion,2023-11-28 15:28:35.931000000,Manager-000001
1011,Notify accept,2023-11-28 15:47:32.002000000,Manager-000002
1011,Notify accept_1,2023-11-28 15:47:33.322220729,Manager-000002
1011,Notify accept_2,2023-11-28 15:47:34.493537164,Manager-000002
1011,Deliver card,2023-11-28 15:49:50.211000000,Manager-000004
1012,Check for completeness,2023-11-28 15:16:40.033000000,Clerk-000005
1012,Request info,2023-11-28 15:28:58.654000000,Manager-000002
1012,info received,2023-11-28 15:31:15.808000000,
1012,info received_1,2023-11-28 15:31:15.856903217,
1012,info received_2,2023-11-28 15:31:17.853990167,
1012,Check for completeness,2023-11-28 15:31:25.808000000,Clerk-000006
1012,Perform checks,2023-11-28 15:34:06.193000000,Clerk-000003
1012,Make decision,2023-11-28 16:13:08.410000000,Manager-000006
1012,notify reject,2023-11-28 16:14:12.786000000,Manager-000005
1012,review request received,2023-11-28 16:15:35.001000000,
1012,Check for completeness,2023-11-28 16:15:45.001000000,Clerk-000006
1012,Perform checks,2023-11-28 16:15:51.808000000,Clerk-000001
1012,Make decision,2023-11-28 16:18:49.246000000,Manager-000004
1012,notify reject,2023-11-28 16:21:36.834000000,Manager-000001
1012,time out,2023-11-28 16:38:47.892000000,
1013,Verification process,2023-11-28 15:27:54.925000000,Clerk-000001
1013,Verification process,2023-11-28 15:37:09.112000000,Clerk-000005
1013,Make decision,2023-11-28 15:47:14.413000000,Manager-000005
1013,Notify cacept,2023-11-28 16:04:15.022000000,Manager-000001
1013,Delivee card,2023-11-28 16:13:58.413000000,Manager-000003
1014,Check for completeness,2023-11-28 17:16:53.790000000,Clerk-000002
1014,Request info,2023-11-28 17:19:06.710000000,Manager-000006
1014,info received,2023-11-28 17:27:15.730000000,
1014,Check for completeness,2023-11-28 17:27:25.730000000,Clerk-000003
1014,Perform checks,2023-11-28 17:44:14.674000000,Clerk-000004
1014,Make decision,2023-11-28 17:58:07.765000000,Manager-000001
1014,Notify accept,2023-11-28 17:58:14.896000000,Manager-000002
1014,Deliver card,2023-11-28 18:58:04.872000000,Manager-000005
1015,Check for completeness,2023-11-28 19:07:24.001000000,Clerk-000002
1015,Perform checks,2023-11-28 19:26:24.515000000,Clerk-000005
1015,Make decision,2023-11-28 19:32:10.128000000,Manager-000004
1015,notify reject,2023-11-28 19:52:05.352000000,Manager-000003
1015,review request received,2023-11-28 20:04:36.439000000,
1015,Check for completeness,2023-11-28 20:04:46.439000000,Clerk-000001
1015,Request info,2023-11-28 20:12:38.460000000,Manager-000002
1015,info received,2023-11-28 20:22:44.895000000,
1015,Check for completeness,2023-11-28 20:22:54.895000000,Clerk-000004
1015,Perform checks,2023-11-28 20:39:38.323000000,Clerk-000002
1015,Make decision,2023-11-28 20:51:02.282000000,Manager-000005
1015,Notify accept,2023-11-28 21:13:57.093000000,Manager-000004
1015,Deliver card,2023-11-28 21:18:19.966000000,Manager-000001
1016,Check for completeness,2023-11-28 19:37:14.993000000,Clerk-000006
1016,Perform checks,2023-11-28 19:40:47.952000000,Clerk-000003
1016,Make decision,2023-11-28 19:51:16.190000000,Manager-000001
1016,notify reject,2023-11-28 19:51:16.190000000,Manager-000006
1016,time out,2023-11-28 19:51:16.190000000,
1017,Check for completeness,2023-11-28 21:27:13.112000000,Clerk-000005
1017,Perform checks,2023-11-28 21:27:13.112000000,Clerk-000004
1017,Make decision,2023-11-28 21:51:11.381000000,Manager-000005
1017,Notify accept,2023-11-28 22:03:03.483000000,Manager-000001
1017,Deliver card,2023-11-28 22:05:27.602000000,Manager-000006
1018,Check for completeness,2023-11-28 21:30:33.885000000,Clerk-000006
1018,Perform checks,2023-11-28 21:34:43.459000000,Clerk-000003
1018,Make decision,2023-11-28 21:36:55.031000000,Manager-000006
1018,notify reject,2023-11-28 21:40:26.957000000,Manager-000003
1018,time out,2023-11-28 21:49:56.565000000,
1019,Check for completeness,2023-11-28 21:36:45.026000000,Clerk-000001
1019,Request info,2023-11-28 21:42:46.125000000,Manager-000002
1019,info received,2023-11-28 21:52:35.787000000,
1019,Check for completeness,2023-11-28 21:52:45.787000000,Clerk-000006
1019,Request info,2023-11-28 22:15:42.869000000,Manager-000003
1019,info received,2023-11-28 22:33:35.416000000,
1019,Check for completeness,2023-11-28 22:33:45.416000000,Clerk-000001
1019,Request info,2023-11-28 22:40:15.122000000,Manager-000001
1019,info received,2023-11-28 22:44:38.481000000,
1019,Check for completeness,2023-11-28 22:44:48.481000000,Clerk-000004
1019,Perform checks,2023-11-28 22:48:50.586000000,Clerk-000002
1019,Make decision,2023-11-28 23:14:56.929000000,Manager-000006
1019,Notify accept,2023-11-28 23:33:43.114000000,Manager-000002
1019,Deliver card,2023-11-28 23:34:34.726000000,Manager-000001
102,Check for completeness,2023-10-04 21:14:24.966000000,Clerk-000005
102,Request info,2023-10-04 21:23:37.532000000,Manager-000002
102,info received,2023-10-04 21:37:17.505000000,
102,Check for completeness,2023-10-04 21:37:27.505000000,Clerk-000004
102,Request info,2023-10-04 21:43:38.344000000,Manager-000001
102,info received,2023-10-04 21:45:32.692000000,
102,Check for completeness,2023-10-04 21:45:42.692000000,Clerk-000001
102,Request info,2023-10-04 22:16:46.744000000,Manager-000003
102,info received,2023-10-04 22:18:42.305000000,
102,Check for completeness,2023-10-04 22:18:52.305000000,Clerk-000002
102,Request info,2023-10-04 22:19:09.528000000,Manager-000005
102,info received,2023-10-04 22:21:33.420000000,
102,Check for completeness,2023-10-04 22:21:43.420000000,Clerk-000003
102,Request info,2023-10-04 22:28:01.143000000,Manager-000004
102,info received,2023-10-04 22:55:04.164000000,
102,Check for completeness,2023-10-04 22:55:14.164000000,Clerk-000006
102,Request info,2023-10-04 22:56:15.724000000,Manager-000006
102,info received,2023-10-04 23:06:16.110000000,
102,Check for completeness,2023-10-04 23:06:26.110000000,Clerk-000001
102,Perform checks,2023-10-04 23:08:29.591000000,Clerk-000002
102,Make decision,2023-10-04 23:14:23.877000000,Manager-000002
102,notify reject,2023-10-04 23:15:26.056000000,Manager-000001
102,time out,2023-10-04 23:31:04.936000000,
1020,Check for completeness>SiIv_20231128,2023-11-28 21:45:13.934000000,Clerk-000002
1020,Rquest info,2023-11-28 22:02:04.258000000,Manager-000004
1020,infO receIved,2023-11-28 22:12:23.729000000,
1020,Check for completeness,2023-11-28 22:12:33.729000000,Clerk-000003
1020,Perform checks,2023-11-28 22:12:40.705000000,Clerk-000005
1020,Make decision-_Manager-000002,2023-11-28 22:19:14.974000000,Manager-000002
1020,notify acceptance,2023-11-28 22:39:02.167000000,Manager-000005
1020,Deliver card,2023-11-28 23:45:09.666000000,Manager-000004
1021,Check for completeness,2023-11-28 23:20:19.870000000,Clerk-000003
1021,Perform checks,2023-11-28 23:25:57.929000000,Clerk-000006
1021,Make decision,2023-11-28 23:28:16.946000000,Manager-000004
1021,notify reject,2023-11-28 23:32:36.962000000,Manager-000003
1021,review request received,2023-11-28 23:47:42.033000000,
1021,Check for completeness,2023-11-28 23:47:52.033000000,Clerk-000001
1021,Request info,2023-11-29 00:17:43.298000000,Manager-000003
1021,info received,2023-11-29 00:49:39.738000000,
1021,Check for completeness,2023-11-29 00:49:49.738000000,Clerk-000005
1021,Request info,2023-11-29 00:56:12.795000000,Manager-000006
1021,info received,2023-11-29 00:56:19.854000000,
1021,Check for completeness,2023-11-29 00:56:29.854000000,Clerk-000004
1021,Perform checks,2023-11-29 01:06:47.374000000,Clerk-000001
1021,Make decision,2023-11-29 01:14:59.905000000,Manager-000002
1021,notify reject,2023-11-29 01:32:07.639000000,Manager-000006
1021,time out,2023-11-29 01:47:03.733000000,
1022,Check for completeness,2023-11-28 23:41:14.861000000,Clerk-000005
1022,Perform checks,2023-11-28 23:56:22.988000000,Clerk-000004
1022,Make decision,2023-11-28 23:59:58.473000000,Manager-000006
1022,Notify accept,2023-11-29 00:03:40.326000000,Manager-000002
1022,Deliver card,2023-11-29 00:07:15.288000000,Manager-000005
1023,Check for completeness,2023-11-29 00:18:55.295000000,Clerk-000002
1023,Perform checks,2023-11-29 00:39:50.851000000,Clerk-000006
1023,Make decision,2023-11-29 00:40:58.017000000,Manager-000004
1023,notify reject,2023-11-29 01:00:39.518000000,Manager-000001
1023,review request received,2023-11-29 01:20:43.633000000,
1023,Check for completeness,2023-11-29 01:20:53.633000000,Clerk-000006
1023,Request info,2023-11-29 01:36:04.497000000,Manager-000004
1023,info received,2023-11-29 01:40:29.048000000,
1023,Check for completeness,2023-11-29 01:40:39.048000000,Clerk-000005
1023,Perform checks,2023-11-29 01:43:34.446000000,Clerk-000003
1023,Make decision,2023-11-29 02:03:45.690000000,Manager-000005
1023,notify reject,2023-11-29 02:05:37.055000000,Manager-000003
1023,review request received,2023-11-29 02:06:28.214000000,
1023,Check for completeness,2023-11-29 02:06:38.214000000,Clerk-000001
1023,Perform checks,2023-11-29 02:10:23.494000000,Clerk-000002
1023,Make decision,2023-11-29 02:11:24.003000000,Manager-000004
1023,notify reject,2023-11-29 02:17:25.666000000,Manager-000001
1023,review request received,2023-11-29 02:35:11.121000000,
1023,Check for completeness,2023-11-29 02:35:21.121000000,Clerk-000005
1023,Request info,2023-11-29 02:48:14.692000000,Manager-000006
1023,info received,2023-11-29 02:50:08.380000000,
1023,Check for completeness,2023-11-29 02:50:18.380000000,Clerk-000004
1023,Perform checks,2023-11-29 02:57:47.691000000,Clerk-000006
1023,Make decision,2023-11-29 03:01:06.397000000,Manager-000002
1023,notify reject,2023-11-29 03:18:04.188000000,Manager-000005
1023,review request received,2023-11-29 03:18:04.188000000,
1023,Check for completeness,2023-11-29 03:18:04.188000000,Clerk-000003
1023,Request info,2023-11-29 03:18:04.188000000,Manager-000003
1023,info received,2023-11-29 03:49:21.544000000,
1023,Check for completeness,2023-11-29 03:49:31.544000000,Clerk-000001
1023,Perform checks,2023-11-29 04:05:27.855000000,Clerk-000002
1023,Make decision,2023-11-29 04:05:39.471000000,Manager-000004
1023,Notify accept,2023-11-29 04:20:39.089000000,Manager-000001
1023,Deliver card,2023-11-29 04:30:47.542000000,Manager-000006
1024,Check for completeness,2023-11-29 00:38:00.843000000,Clerk-000003
1024,Request info,2023-11-29 01:25:45.334000000,Manager-000003
1024,info received,2023-11-29 01:38:32.674000000,
1024,Check for completeness,2023-11-29 01:38:42.674000000,Clerk-000001
1024,Perform checks,2023-11-29 01:40:12.212000000,Clerk-000002
1024,Make decision,2023-11-29 01:42:08.174000000,Manager-000001
1024,notify reject,2023-11-29 01:42:25.017000000,Manager-000002
1024,time out,2023-11-29 02:03:06.370000000,
1025,Check for completeness,2023-11-29 01:17:37.843000000,Clerk-000002
1025,Perform checks,2023-11-29 01:24:38.092000000,Clerk-000005
1025,Make decision,2023-11-29 01:25:33.397000000,Manager-000005
1025,Notify accept,2023-11-29 01:47:50.842000000,Manager-000003
1025,Deliver card,2023-11-29 01:49:32.122000000,Manager-000004
1026,Check for completeness,2023-11-29 01:36:59.703000000,Clerk-000004
1026,Perform checks,2023-11-29 01:46:39.868000000,Clerk-000006
1026,Make decision,2023-11-29 01:51:49.384000000,Manager-000001
1026,notify reject,2023-11-29 01:53:39.902000000,Manager-000006
1026,time out,2023-11-29 01:59:11.238000000,
1027,Check for completeness,2023-11-29 04:09:01.019000000,Clerk-000005
1027,Perform checks,2023-11-29 04:09:29.961000000,Clerk-000004
1027,Make decision,2023-11-29 04:39:05.399000000,Manager-000002
1027,Notify accept,2023-11-29 04:54:20.284000000,Manager-000005
1027,Deliver card,2023-11-29 05:00:48.208000000,Manager-000003
1028,Check for completeness,2023-11-29 05:38:28.082000000,Clerk-000006
1028,Request info,2023-11-29 05:53:12.073000000,Manager-000004
1028,Request info_1,2023-11-29 05:53:13.397435127,Manager-000004
1028,Request info_2,2023-11-29 05:53:13.938810192,Manager-000004
1028,info received_455:nan,2023-11-29 06:00:29.774000000,
1028,Verification process,2023-11-29 06:00:39.774000000,Clerk-000003
1028,Verification process,2023-11-29 06:11:32.903000000,Clerk-000001
1028,Make decision,2023-11-29 06:18:59.987000000,Manager-000001
1028,Notify accept-_20231129,2023-11-29 06:40:37.719000000,Manager-000002
1028,Deliver card-.20231129,2023-11-29 06:49:55.909000000,Manager-000005
1029,Check for completeness,2023-11-29 07:02:18.620000000,Clerk-000002
1029,Request info,2023-11-29 07:17:42.075000000,Manager-000006
1029,info received,2023-11-29 07:20:52.132000000,
1029,Check for completeness,2023-11-29 07:21:02.132000000,Clerk-000006
1029,Request info,2023-11-29 07:24:39.261000000,Manager-000004
1029,info received,2023-11-29 07:25:59.537000000,
1029,Check for completeness,2023-11-29 07:26:09.537000000,Clerk-000003
1029,Request info,2023-11-29 07:29:37.930000000,Manager-000002
1029,info received,2023-11-29 07:30:20.598000000,
1029,Check for completeness,2023-11-29 07:30:30.598000000,Clerk-000001
1029,Request info,2023-11-29 07:31:39.699000000,Manager-000005
1029,info received,2023-11-29 07:45:03.398000000,
1029,Check for completeness,2023-11-29 07:45:13.398000000,Clerk-000002
1029,Perform checks,2023-11-29 07:48:49.659000000,Clerk-000003
1029,Make decision,2023-11-29 07:56:51.031000000,Manager-000004
1029,notify reject,2023-11-29 08:07:25.436000000,Manager-000001
1029,time out,2023-11-29 08:10:58.359000000,
103,Check for completeness__20231004,2023-10-04 22:59:58.906000000,Clerk-000005
103,Perform checks::Clerk-000002,2023-10-04 23:26:52.439000000,Clerk-000002
103,Make DecIsIOn,2023-10-04 23:33:11.752000000,Manager-000004
103,notify rjeect,2023-10-04 23:34:37.127000000,Manager-000006
103,operation timeout,2023-10-04 23:40:14.658000000,
1030,Check for completeness,2023-11-29 07:04:19.559000000,Clerk-000005
1030,Perform checks,2023-11-29 07:08:19.747000000,Clerk-000004
1030,Make decision,2023-11-29 07:20:06.486000000,Manager-000003
1030,notify reject,2023-11-29 07:27:37.553000000,Manager-000001
1030,review request received,2023-11-29 07:39:41.721000000,
1030,Check for completeness,2023-11-29 07:39:51.721000000,Clerk-000005
1030,Request info,2023-11-29 07:41:59.186000000,Manager-000006
1030,info received,2023-11-29 07:48:04.080000000,
1030,Check for completeness,2023-11-29 07:48:14.080000000,Clerk-000006
1030,Request info,2023-11-29 07:57:45.516000000,Manager-000003
1030,info received,2023-11-29 08:04:23.877000000,
1030,Check for completeness,2023-11-29 08:04:33.877000000,Clerk-000001
1030,Request info,2023-11-29 08:19:21.947000000,Manager-000005
1030,info received,2023-11-29 08:27:45.845000000,
1030,Check for completeness,2023-11-29 08:27:55.845000000,Clerk-000002
1030,Perform checks,2023-11-29 08:40:28.408000000,Clerk-000003
1030,Make decision,2023-11-29 08:40:34.646000000,Manager-000003
1030,notify reject,2023-11-29 08:59:52.259000000,Manager-000002
1030,review request received,2023-11-29 09:08:11.949000000,
1030,Check for completeness,2023-11-29 09:08:21.949000000,Clerk-000001
1030,Perform checks,2023-11-29 09:26:06.043000000,Clerk-000002
1030,Make decision,2023-11-29 09:28:19.379000000,Manager-000005
1030,notify reject,2023-11-29 09:30:26.197000000,Manager-000006
1030,time out,2023-11-29 09:37:46.407000000,
1031,Check for completeness,2023-11-29 07:47:54.543000000,Clerk-000004
1031,Request info,2023-11-29 08:01:48.986000000,Manager-000002
1031,info received,2023-11-29 08:12:47.905000000,
1031,Check for completeness,2023-11-29 08:12:57.905000000,Clerk-000005
1031,Request info,2023-11-29 08:27:23.286000000,Manager-000006
1031,info received,2023-11-29 08:47:33.636000000,
1031,Check for completeness,2023-11-29 08:47:43.636000000,Clerk-000006
1031,Request info,2023-11-29 08:50:13.432000000,Manager-000004
1031,info received,2023-11-29 08:50:55.313000000,
1031,Check for completeness,2023-11-29 08:51:05.313000000,Clerk-000004
1031,Request info,2023-11-29 08:57:18.651000000,Manager-000001
1031,info received,2023-11-29 09:39:23.637000000,
1031,Check for completeness,2023-11-29 09:39:33.637000000,Clerk-000006
1031,Request info,2023-11-29 09:44:59.685000000,Manager-000002
1031,info received,2023-11-29 09:48:39.083000000,
1031,Check for completeness,2023-11-29 09:48:49.083000000,Clerk-000001
1031,Request info,2023-11-29 09:58:08.118000000,Manager-000005
1031,info received,2023-11-29 09:58:46.134000000,
1031,Check for completeness,2023-11-29 09:58:56.134000000,Clerk-000005
1031,Perform checks,2023-11-29 10:00:30.718000000,Clerk-000002
1031,Make decision,2023-11-29 10:02:11.129000000,Manager-000006
1031,Notify accept,2023-11-29 10:22:04.764000000,Manager-000004
1031,Deliver card,2023-11-29 10:26:21.408000000,Manager-000002
1032,Check for completeness,2023-11-29 09:18:56.262000000,Clerk-000005
1032,Perform checks,2023-11-29 09:26:28.992000000,Clerk-000003
1032,Make decision,2023-11-29 09:33:54.216000000,Manager-000004
1032,notify reject,2023-11-29 09:40:36.355000000,Manager-000003
1032,review request received,2023-11-29 09:45:05.465000000,
1032,Check for completeness,2023-11-29 09:45:15.465000000,Clerk-000004
1032,Request info,2023-11-29 10:08:41.041000000,Manager-000001
1032,info received,2023-11-29 10:12:43.884000000,
1032,Check for completeness,2023-11-29 10:12:53.884000000,Clerk-000003
1032,Request info,2023-11-29 10:23:09.705000000,Manager-000003
1032,info received,2023-11-29 10:25:33.564000000,
1032,Check for completeness,2023-11-29 10:25:43.564000000,Clerk-000006
1032,Request info,2023-11-29 10:27:57.838000000,Manager-000005
1032,info received,2023-11-29 10:33:14.102000000,
1032,Check for completeness,2023-11-29 10:33:24.102000000,Clerk-000005
1032,Perform checks,2023-11-29 10:38:47.989000000,Clerk-000002
1032,Make decision,2023-11-29 10:44:16.157000000,Manager-000006
1032,notify reject,2023-11-29 10:49:03.076000000,Manager-000003
1032,review request received,2023-11-29 10:50:21.726000000,
1032,Check for completeness,2023-11-29 10:50:31.726000000,Clerk-000004
1032,Perform checks,2023-11-29 11:25:46.395000000,Clerk-000005
1032,Make decision,2023-11-29 11:43:28.640000000,Manager-000006
1032,notify reject,2023-11-29 11:44:24.303000000,Manager-000003
1032,time out,2023-11-29 11:48:11.260000000,
1033,Check for completeness,2023-11-29 10:26:53.059000000,Clerk-000001
1033,Request info,2023-11-29 10:31:26.111000000,Manager-000001
1033,info received_62yyykq:nan,2023-11-29 10:53:14.166000000,
1033,Check for compelteness,2023-11-29 10:53:24.166000000,Clerk-000003
1033,Request info-490>Manager-000004,2023-11-29 11:05:56.217000000,Manager-000004
1033,info received,2023-11-29 11:07:09.172000000,
1033,Check for completeness,2023-11-29 11:07:19.172000000,Clerk-000006
